title,price,comments,details_urls,shoop
新疆特产库车小白杏干天然无自然风干树上干杏吊死干新货特级 特级(500克),88.61,0,https://item.m.jd.com/product/10032457199918.html?_fd=jdm&amp;price=88.61&amp;fs=1,皓露睿食品饮料专营店
杏仁奶枣 500g夹心奶酪枣 新疆灰枣夹杏仁巴旦木仁零食 （不含巴旦木）奶枣500g,43.90,200,https://item.m.jd.com/product/10038266874679.html?_fd=jdm&amp;price=43.90&amp;fs=1,中国特产·特克斯助农馆
【奎屯馆】新疆有机树上干杏杏脯杏肉杏包仁 200g/袋 伊杏皇果苑吊死杏干杏肉礼盒 杏仁 200g*2袋装,78.80,100,https://item.m.jd.com/product/10032054764655.html?_fd=jdm&amp;price=78.80&amp;fs=1,中国特产·奎屯馆
土耳其杏干天然杏脯非新疆树上干杏无核特级200g*5袋杏肉非散装,59.90,2000,https://item.m.jd.com/product/59366923430.html?_fd=jdm&amp;price=59.90&amp;fs=1,黄金田园食品官方旗舰店
诗梦园 伊犁杏子果丹皮 儿时怀旧老手工零食 新疆特产杏子片杏子卷杏子条酸甜爽口 杏子500g*1盒,48.00,100,https://item.m.jd.com/product/28484170518.html?_fd=jdm&amp;price=48.00&amp;fs=1,祥如食品专营店
新疆新货库车小白杏特级超甜无添加树上杏干无添加吊干杏 精选杏干1斤【新疆直发】,30.90,5,https://item.m.jd.com/product/10033555458752.html?_fd=jdm&amp;price=30.90&amp;fs=1,欣祥利仁零食专营店
丝绸果路 新疆黑杏干树上吊干大黑杏干大丑杏干果干500g *1,38.00,0,https://item.m.jd.com/product/10039357832531.html?_fd=jdm&amp;price=38.00&amp;fs=1,萌途旗舰店
无核大杏干新疆特产红杏干大黑杏脯杏肉土耳其甜食果脯天然无 精选大号1000g()【强烈推荐】,139.00,1,https://item.m.jd.com/product/71743934020.html?_fd=jdm&amp;price=139.00&amp;fs=1,班之宇食品专营店
新疆杏包仁大漠马卡龙杏干夹和田核桃休闲零食蜜饯果干120g 杏包仁120g,15.50,100,https://item.m.jd.com/product/10029762678126.html?_fd=jdm&amp;price=15.50&amp;fs=1,中国特产·新疆兵团第八师馆
杏干天然晒干新疆特产干果小白杏干吊干杏1000g 【杏干1斤】,36.80,34,https://item.m.jd.com/product/64222659223.html?_fd=jdm&amp;price=36.80&amp;fs=1,五分地食品专营店
土耳其杏干19年新货特级杏肉干天然晾晒新鲜新疆吊干杏脯 500g 500g黄杏脯+500g黑杏脯,117.00,0,https://item.m.jd.com/product/70794745885.html?_fd=jdm&amp;price=117.00&amp;fs=1,沫娅娜糕点专营店
新疆小白杏干伊犁61团库车自然风干原味树上吊死干杏500克,56.80,1000,https://item.m.jd.com/product/45109344198.html?_fd=jdm&amp;price=56.80&amp;fs=1,荣荣特产专营店
圣域美疆土耳其杏干500g大杏干特级新疆杏脯无核大黑杏干原色原味孕妇零食 黑杏干500 特级0号无核黑杏干杏肉1000克,78.90,7,https://item.m.jd.com/product/10038446263675.html?_fd=jdm&amp;price=78.90&amp;fs=1,乐滋道食品特产专营店
