web-scraper-order,web-scraper-start-url,titles,tags,prices,sales,pics-src,html_datas
"1639496865-633","https://yangkeduo.com/search_result.html?search_key=%E6%96%B0%E7%96%86%E6%9D%8F&source=index&options=3&search_met_track=manual&refer_page_el_sn=99885&refer_page_name=psnl_varification&refer_page_id=10390_1611407147078_9ah1wdbavt&refer_page_sn=10390&page_id=10015_1611407194386_h1gfg1xy0i&is_back=&bsch_is_search_mall=&bsch_show_active_page=&list_id=NFZ8enKYmL&flip=0%3B0%3B0%3B0%3B8a398fe9-5181-4ab0-b5af-dfaf7af6b80b&sort_type=_sales&price_index=-1&filter=","null","null","null","null","null","<div class=""_2FsLiFpP""><div class=""_1nUkmFAV""><span>相关搜索</span></div><div><span class=""_16REF1ps _2IFNp3He"">新疆吊干杏第一名</span><span class=""_16REF1ps _2IFNp3He"">新疆小白杏</span><span class=""_16REF1ps _2IFNp3He"">新疆特产</span><span class=""_16REF1ps _2IFNp3He"">新疆土特产</span><span class=""_16REF1ps _2IFNp3He"">吊干杏新疆吊干杏</span><span class=""_16REF1ps _2IFNp3He"">来自新疆的礼物</span><span class=""_16REF1ps _2IFNp3He"">树上干杏新疆</span><span class=""_16REF1ps _2IFNp3He"">新疆果干</span></div></div>"
"1639496865-1019","https://yangkeduo.com/search_result.html?search_key=%E6%96%B0%E7%96%86%E6%9D%8F&source=index&options=3&search_met_track=manual&refer_page_el_sn=99885&refer_page_name=psnl_varification&refer_page_id=10390_1611407147078_9ah1wdbavt&refer_page_sn=10390&page_id=10015_1611407194386_h1gfg1xy0i&is_back=&bsch_is_search_mall=&bsch_show_active_page=&list_id=NFZ8enKYmL&flip=0%3B0%3B0%3B0%3B8a398fe9-5181-4ab0-b5af-dfaf7af6b80b&sort_type=_sales&price_index=-1&filter=","空心山楂球山楂干甜杏干杏肉蜜饯果脯休闲零食水果干酸甜凉果鲜果","退货包运费","券后¥2.63","已拼10万+件","https://img-1.pddpic.com/mms-material-img/2020-11-05/ff58305d-6760-4870-bf11-e452aeac04a3.jpeg.a.jpeg?imageView2/2/w/400/q/80/format/webp","<div class=""_28aZEDfA _21K8BYKm""><div class=""_3kMW9wZS""><div class=""_1JhVorb- _3RevhB5_"" style=""width: 1.86rem; height: 1.86rem;""><img class=""pdd-lazy-image loaded"" data-src=""https://img-1.pddpic.com/mms-material-img/2020-11-05/ff58305d-6760-4870-bf11-e452aeac04a3.jpeg.a.jpeg?imageView2/2/w/400/q/80/format/webp"" data-retry-count=""0"" src=""https://img-1.pddpic.com/mms-material-img/2020-11-05/ff58305d-6760-4870-bf11-e452aeac04a3.jpeg.a.jpeg?imageView2/2/w/400/q/80/format/webp"" data-was-processed=""true"" style=""background-color: rgb(255, 255, 255); width: 1.86rem; height: 1.86rem;""></div></div><div class=""JgHA5Ioj""><div class=""RHpIDHFA _1fEcvgW-"" style=""margin-bottom: 0.03rem; height: 0.18rem;""><img src=""https://commimg-1.pddpic.com/oms_img_ng/2021-11-23/4f338504-401f-46f6-9170-9ba0696ee427.png?imageView2/2/w/1300/q/80/format/webp"" class=""q1RyBcaR"" data-cui-retry-count=""0"" style=""height: 0.15rem; top: 0.01rem;"">空心山楂球山楂干甜杏干杏肉蜜饯果脯休闲零食水果干酸甜凉果鲜果</div><div class=""_2Xn9iKeL""><div class=""_33MlbZAC""><div class=""_2ONfcqjj"" style=""margin-right: 0.06rem; margin-bottom: 0.02rem; color: rgb(156, 156, 156);"">退货包运费</div></div></div><div class=""_1-shHErP""><div class=""_1oIBfP0O""><div class=""_1u6vHUry""><span class=""_2TktAWlc""><span class=""_2FLi1_9H"">券后</span><span class=""_3wxOojgp"">¥</span><span>2</span><span class=""ZAchpdk0"">.63</span></span></div><div class=""_5x_0r9h0"" style=""margin-left: 0.04rem; font-size: 0.13rem;""><div style=""width: 204px; transform-origin: left bottom; transform: scale(1); overflow: hidden;""><span class="""">已拼10万+件</span></div></div></div></div></div></div>"
"1639496865-988","https://yangkeduo.com/search_result.html?search_key=%E6%96%B0%E7%96%86%E6%9D%8F&source=index&options=3&search_met_track=manual&refer_page_el_sn=99885&refer_page_name=psnl_varification&refer_page_id=10390_1611407147078_9ah1wdbavt&refer_page_sn=10390&page_id=10015_1611407194386_h1gfg1xy0i&is_back=&bsch_is_search_mall=&bsch_show_active_page=&list_id=NFZ8enKYmL&flip=0%3B0%3B0%3B0%3B8a398fe9-5181-4ab0-b5af-dfaf7af6b80b&sort_type=_sales&price_index=-1&filter=","阳高杏脯山西大同特产无添加酸甜原味杏肉天然蜜饯果脯小零食杏干","退货包运费满42返3","券后¥3.4","已拼5.3万件","https://img-1.pddpic.com/goods/images/2020-05-11/c1ce5b16-bb6a-4f98-91b4-3e83286fa925.jpg?imageView2/2/w/400/q/80/format/webp","<div class=""_28aZEDfA _21K8BYKm""><div class=""_3kMW9wZS""><div class=""_1JhVorb- _3RevhB5_"" style=""width: 1.86rem; height: 1.86rem;""><img class=""pdd-lazy-image loaded"" data-src=""https://img-1.pddpic.com/goods/images/2020-05-11/c1ce5b16-bb6a-4f98-91b4-3e83286fa925.jpg?imageView2/2/w/400/q/80/format/webp"" data-retry-count=""0"" src=""https://img-1.pddpic.com/goods/images/2020-05-11/c1ce5b16-bb6a-4f98-91b4-3e83286fa925.jpg?imageView2/2/w/400/q/80/format/webp"" data-was-processed=""true"" style=""background-color: rgb(255, 255, 255); width: 1.86rem; height: 1.86rem;""></div></div><div class=""JgHA5Ioj""><div class=""RHpIDHFA _1fEcvgW-"" style=""margin-bottom: 0.03rem; height: 0.18rem;"">阳高杏脯山西大同特产无添加酸甜原味杏肉天然蜜饯果脯小零食杏干</div><div class=""_2Xn9iKeL""><div class=""_33MlbZAC""><div class=""_2ONfcqjj"" style=""margin-right: 0.06rem; margin-bottom: 0.02rem; color: rgb(156, 156, 156);"">退货包运费</div><div class=""_2ONfcqjj"" style=""margin-right: 0.06rem; margin-bottom: 0.02rem; color: rgb(156, 156, 156);"">满42返3</div></div></div><div class=""_1-shHErP""><div class=""_1oIBfP0O""><div class=""_1u6vHUry""><span class=""_2TktAWlc""><span class=""_2FLi1_9H"">券后</span><span class=""_3wxOojgp"">¥</span><span>3</span><span class=""ZAchpdk0"">.4</span></span></div><div class=""_5x_0r9h0"" style=""margin-left: 0.04rem; font-size: 0.13rem;""><div style=""width: 221px; transform-origin: left bottom; transform: scale(1); overflow: hidden;""><span class="""">已拼5.3万件</span></div></div></div></div></div></div>"
"1639496865-1017","https://yangkeduo.com/search_result.html?search_key=%E6%96%B0%E7%96%86%E6%9D%8F&source=index&options=3&search_met_track=manual&refer_page_el_sn=99885&refer_page_name=psnl_varification&refer_page_id=10390_1611407147078_9ah1wdbavt&refer_page_sn=10390&page_id=10015_1611407194386_h1gfg1xy0i&is_back=&bsch_is_search_mall=&bsch_show_active_page=&list_id=NFZ8enKYmL&flip=0%3B0%3B0%3B0%3B8a398fe9-5181-4ab0-b5af-dfaf7af6b80b&sort_type=_sales&price_index=-1&filter=","正宗加州西梅干酸甜西梅小包装西梅休闲果干食品小吃120g/500g","退货包运费极速退款","券后¥1.45","已拼6.3万件","https://img-1.pddpic.com/goods/images/2020-05-08/baadcdd6-5cd6-42db-b5d2-4b4944a3a6dd.jpg?imageView2/2/w/400/q/80/format/webp","<div class=""_28aZEDfA _21K8BYKm""><div class=""_3kMW9wZS""><div class=""_1JhVorb- _3RevhB5_"" style=""width: 1.86rem; height: 1.86rem;""><img class=""pdd-lazy-image loaded"" data-src=""https://img-1.pddpic.com/goods/images/2020-05-08/baadcdd6-5cd6-42db-b5d2-4b4944a3a6dd.jpg?imageView2/2/w/400/q/80/format/webp"" data-retry-count=""0"" src=""https://img-1.pddpic.com/goods/images/2020-05-08/baadcdd6-5cd6-42db-b5d2-4b4944a3a6dd.jpg?imageView2/2/w/400/q/80/format/webp"" data-was-processed=""true"" style=""background-color: rgb(255, 255, 255); width: 1.86rem; height: 1.86rem;""></div><div class=""_3Zff7F2H"" style=""background: rgba(0, 0, 0, 0.5); color: rgb(255, 255, 255); z-index: 999;""><div class=""_1d--yjtx""><div style=""transform-origin: left center; transform: scale(1); width: 373px; overflow: hidden;""><span style=""visibility: visible;"">新疆不可配送</span></div></div></div></div><div class=""JgHA5Ioj""><div class=""RHpIDHFA _1fEcvgW-"" style=""margin-bottom: 0.03rem; height: 0.18rem;"">正宗加州西梅干酸甜西梅小包装西梅休闲果干食品小吃120g/500g</div><div class=""_2Xn9iKeL""><div class=""_33MlbZAC""><div class=""_2ONfcqjj"" style=""margin-right: 0.06rem; margin-bottom: 0.02rem; color: rgb(156, 156, 156);"">退货包运费</div><div class=""_2ONfcqjj"" style=""margin-right: 0.06rem; margin-bottom: 0.02rem; color: rgb(156, 156, 156);"">极速退款</div></div></div><div class=""_1-shHErP""><div class=""_1oIBfP0O""><div class=""_1u6vHUry""><span class=""_2TktAWlc""><span class=""_2FLi1_9H"">券后</span><span class=""_3wxOojgp"">¥</span><span>1</span><span class=""ZAchpdk0"">.45</span></span></div><div class=""_5x_0r9h0"" style=""margin-left: 0.04rem; font-size: 0.13rem;""><div style=""width: 204px; transform-origin: left bottom; transform: scale(1); overflow: hidden;""><span class="""">已拼6.3万件</span></div></div></div></div></div></div>"
"1639496865-837","https://yangkeduo.com/search_result.html?search_key=%E6%96%B0%E7%96%86%E6%9D%8F&source=index&options=3&search_met_track=manual&refer_page_el_sn=99885&refer_page_name=psnl_varification&refer_page_id=10390_1611407147078_9ah1wdbavt&refer_page_sn=10390&page_id=10015_1611407194386_h1gfg1xy0i&is_back=&bsch_is_search_mall=&bsch_show_active_page=&list_id=NFZ8enKYmL&flip=0%3B0%3B0%3B0%3B8a398fe9-5181-4ab0-b5af-dfaf7af6b80b&sort_type=_sales&price_index=-1&filter=","买一罐送一罐新货大颗粒开心果500g/50g精选原味坚果休闲零食","坏了包赔","券后¥2.9","已拼2.6万件","https://img-1.pddpic.com/mms-material-img/2021-11-09/2d455055-12cb-4fb2-bc4c-9a9c185fa0aa.jpeg.a.jpeg?imageView2/2/w/400/q/80/format/webp","<div class=""_28aZEDfA _21K8BYKm""><div class=""_3kMW9wZS""><div class=""_1JhVorb- _3RevhB5_"" style=""width: 1.86rem; height: 1.86rem;""><img class=""pdd-lazy-image loaded"" data-src=""https://img-1.pddpic.com/mms-material-img/2021-11-09/2d455055-12cb-4fb2-bc4c-9a9c185fa0aa.jpeg.a.jpeg?imageView2/2/w/400/q/80/format/webp"" data-retry-count=""0"" src=""https://img-1.pddpic.com/mms-material-img/2021-11-09/2d455055-12cb-4fb2-bc4c-9a9c185fa0aa.jpeg.a.jpeg?imageView2/2/w/400/q/80/format/webp"" data-was-processed=""true"" style=""background-color: rgb(255, 255, 255); width: 1.86rem; height: 1.86rem;""></div><div class=""_3Zff7F2H"" style=""background: rgba(0, 0, 0, 0.5); color: rgb(255, 255, 255); z-index: 999;""><div class=""_1d--yjtx""><div style=""transform-origin: left center; transform: scale(1); width: 373px; overflow: hidden;""><span style=""visibility: visible;"">新疆不可配送</span></div></div></div></div><div class=""JgHA5Ioj""><div class=""RHpIDHFA _1fEcvgW-"" style=""margin-bottom: 0.03rem; height: 0.18rem;""><span class=""_1ls2E2pE""></span>买一罐送一罐<span class=""_1ls2E2pE""></span>新货大颗粒开心果500g/50g精选原味坚果休闲零食</div><div class=""_2Xn9iKeL""><div class=""_33MlbZAC""><div class=""_2ONfcqjj"" style=""margin-right: 0.06rem; margin-bottom: 0.02rem; color: rgb(156, 156, 156);"">坏了包赔</div></div></div><div class=""_1-shHErP""><div class=""_1oIBfP0O""><div class=""_1u6vHUry""><span class=""_2TktAWlc""><span class=""_2FLi1_9H"">券后</span><span class=""_3wxOojgp"">¥</span><span>2</span><span class=""ZAchpdk0"">.9</span></span></div><div class=""_5x_0r9h0"" style=""margin-left: 0.04rem; font-size: 0.13rem;""><div style=""width: 221px; transform-origin: left bottom; transform: scale(1); overflow: hidden;""><span class="""">已拼2.6万件</span></div></div></div></div></div></div>"
"1639496865-946","https://yangkeduo.com/search_result.html?search_key=%E6%96%B0%E7%96%86%E6%9D%8F&source=index&options=3&search_met_track=manual&refer_page_el_sn=99885&refer_page_name=psnl_varification&refer_page_id=10390_1611407147078_9ah1wdbavt&refer_page_sn=10390&page_id=10015_1611407194386_h1gfg1xy0i&is_back=&bsch_is_search_mall=&bsch_show_active_page=&list_id=NFZ8enKYmL&flip=0%3B0%3B0%3B0%3B8a398fe9-5181-4ab0-b5af-dfaf7af6b80b&sort_type=_sales&price_index=-1&filter=","2021新货东北松子手剥开口特产新鲜大颗粒红松子散装原味包邮","退货包运费","券后¥10.1","已拼8万件","https://img-1.pddpic.com/mms-material-img/2021-09-28/d3106db8-06a4-427a-9ec5-ebf7d4b4f430.jpeg.a.jpeg?imageView2/2/w/400/q/80/format/webp","<div class=""_28aZEDfA _21K8BYKm""><div class=""_3kMW9wZS""><div class=""_1JhVorb- _3RevhB5_"" style=""width: 1.86rem; height: 1.86rem;""><img class=""pdd-lazy-image loaded"" data-src=""https://img-1.pddpic.com/mms-material-img/2021-09-28/d3106db8-06a4-427a-9ec5-ebf7d4b4f430.jpeg.a.jpeg?imageView2/2/w/400/q/80/format/webp"" data-retry-count=""0"" src=""https://img-1.pddpic.com/mms-material-img/2021-09-28/d3106db8-06a4-427a-9ec5-ebf7d4b4f430.jpeg.a.jpeg?imageView2/2/w/400/q/80/format/webp"" data-was-processed=""true"" style=""background-color: rgb(255, 255, 255); width: 1.86rem; height: 1.86rem;""></div></div><div class=""JgHA5Ioj""><div class=""RHpIDHFA _1fEcvgW-"" style=""margin-bottom: 0.03rem; height: 0.18rem;""><img src=""https://commimg-1.pddpic.com/oms_img_ng/2021-11-23/4f338504-401f-46f6-9170-9ba0696ee427.png?imageView2/2/w/1300/q/80/format/webp"" class=""q1RyBcaR"" data-cui-retry-count=""0"" style=""height: 0.15rem; top: 0.01rem;"">2021新货东北松子手剥开口特产新鲜大颗粒红松子散装原味包邮</div><div class=""_2Xn9iKeL""><div class=""_33MlbZAC""><div class=""_2ONfcqjj"" style=""margin-right: 0.06rem; margin-bottom: 0.02rem; color: rgb(156, 156, 156);"">退货包运费</div></div></div><div class=""_1-shHErP""><div class=""_1oIBfP0O""><div class=""_1u6vHUry""><span class=""_2TktAWlc""><span class=""_2FLi1_9H"">券后</span><span class=""_3wxOojgp"">¥</span><span>10</span><span class=""ZAchpdk0"">.1</span></span></div><div class=""_5x_0r9h0"" style=""margin-left: 0.04rem; font-size: 0.13rem;""><div style=""width: 199px; transform-origin: left bottom; transform: scale(1); overflow: hidden;""><span class="""">已拼8万件</span></div></div></div></div></div></div>"
"1639496865-1023","https://yangkeduo.com/search_result.html?search_key=%E6%96%B0%E7%96%86%E6%9D%8F&source=index&options=3&search_met_track=manual&refer_page_el_sn=99885&refer_page_name=psnl_varification&refer_page_id=10390_1611407147078_9ah1wdbavt&refer_page_sn=10390&page_id=10015_1611407194386_h1gfg1xy0i&is_back=&bsch_is_search_mall=&bsch_show_active_page=&list_id=NFZ8enKYmL&flip=0%3B0%3B0%3B0%3B8a398fe9-5181-4ab0-b5af-dfaf7af6b80b&sort_type=_sales&price_index=-1&filter=","2021年新货精选桑椹干 特级新疆野生免洗黑桑葚子 大颗粒干净无沙","退货包运费极速退款","券后¥1.56","已拼10万+件","https://img-1.pddpic.com/mms-material-img/2021-04-17/403e5bb2-c156-447d-94ce-a56244f3ae01.jpeg.a.jpeg?imageView2/2/w/400/q/80/format/webp","<div class=""_28aZEDfA _21K8BYKm""><div class=""_3kMW9wZS""><div class=""_1JhVorb- _3RevhB5_"" style=""width: 1.86rem; height: 1.86rem;""><img class=""pdd-lazy-image loaded"" data-src=""https://img-1.pddpic.com/mms-material-img/2021-04-17/403e5bb2-c156-447d-94ce-a56244f3ae01.jpeg.a.jpeg?imageView2/2/w/400/q/80/format/webp"" data-retry-count=""0"" src=""https://img-1.pddpic.com/mms-material-img/2021-04-17/403e5bb2-c156-447d-94ce-a56244f3ae01.jpeg.a.jpeg?imageView2/2/w/400/q/80/format/webp"" data-was-processed=""true"" style=""background-color: rgb(255, 255, 255); width: 1.86rem; height: 1.86rem;""></div></div><div class=""JgHA5Ioj""><div class=""RHpIDHFA _1fEcvgW-"" style=""margin-bottom: 0.03rem; height: 0.18rem;"">2021年新货精选桑椹干 特级新疆野生免洗黑桑葚子 大颗粒干净无沙</div><div class=""_2Xn9iKeL""><div class=""_33MlbZAC""><div class=""_2ONfcqjj"" style=""margin-right: 0.06rem; margin-bottom: 0.02rem; color: rgb(156, 156, 156);"">退货包运费</div><div class=""_2ONfcqjj"" style=""margin-right: 0.06rem; margin-bottom: 0.02rem; color: rgb(156, 156, 156);"">极速退款</div></div></div><div class=""_1-shHErP""><div class=""_1oIBfP0O""><div class=""_1u6vHUry""><span class=""_2TktAWlc""><span class=""_2FLi1_9H"">券后</span><span class=""_3wxOojgp"">¥</span><span>1</span><span class=""ZAchpdk0"">.56</span></span></div><div class=""_5x_0r9h0"" style=""margin-left: 0.04rem; font-size: 0.13rem;""><div style=""width: 204px; transform-origin: left bottom; transform: scale(1); overflow: hidden;""><span class="""">已拼10万+件</span></div></div></div></div></div></div>"
"1639496865-687","https://yangkeduo.com/search_result.html?search_key=%E6%96%B0%E7%96%86%E6%9D%8F&source=index&options=3&search_met_track=manual&refer_page_el_sn=99885&refer_page_name=psnl_varification&refer_page_id=10390_1611407147078_9ah1wdbavt&refer_page_sn=10390&page_id=10015_1611407194386_h1gfg1xy0i&is_back=&bsch_is_search_mall=&bsch_show_active_page=&list_id=NFZ8enKYmL&flip=0%3B0%3B0%3B0%3B8a398fe9-5181-4ab0-b5af-dfaf7af6b80b&sort_type=_sales&price_index=-1&filter=","新货巴旦木连罐重500g/250g奶香味盐焗味薄壳坚果零食特产批发50g","坏了包赔","券后¥0.9","已拼10万+件","https://img-1.pddpic.com/mms-material-img/2021-07-05/52ce3a50-eabe-4651-81aa-1821b36db00a.jpeg.a.jpeg?imageView2/2/w/400/q/80/format/webp","<div class=""_28aZEDfA _21K8BYKm""><div class=""_3kMW9wZS""><div class=""_1JhVorb- _3RevhB5_"" style=""width: 1.86rem; height: 1.86rem;""><img class=""pdd-lazy-image loaded"" data-src=""https://img-1.pddpic.com/mms-material-img/2021-07-05/52ce3a50-eabe-4651-81aa-1821b36db00a.jpeg.a.jpeg?imageView2/2/w/400/q/80/format/webp"" data-retry-count=""0"" src=""https://img-1.pddpic.com/mms-material-img/2021-07-05/52ce3a50-eabe-4651-81aa-1821b36db00a.jpeg.a.jpeg?imageView2/2/w/400/q/80/format/webp"" data-was-processed=""true"" style=""background-color: rgb(255, 255, 255); width: 1.86rem; height: 1.86rem;""></div><div class=""_3Zff7F2H"" style=""background: rgba(0, 0, 0, 0.5); color: rgb(255, 255, 255); z-index: 999;""><div class=""_1d--yjtx""><div style=""transform-origin: left center; transform: scale(1); width: 373px; overflow: hidden;""><span style=""visibility: visible;"">新疆不可配送</span></div></div></div></div><div class=""JgHA5Ioj""><div class=""RHpIDHFA _1fEcvgW-"" style=""margin-bottom: 0.03rem; height: 0.18rem;"">新货巴旦木连罐重500g/250g奶香味盐焗味薄壳坚果零食特产批发50g</div><div class=""_2Xn9iKeL""><div class=""_33MlbZAC""><div class=""_2ONfcqjj"" style=""margin-right: 0.06rem; margin-bottom: 0.02rem; color: rgb(156, 156, 156);"">坏了包赔</div></div></div><div class=""_1-shHErP""><div class=""_1oIBfP0O""><div class=""_1u6vHUry""><span class=""_2TktAWlc""><span class=""_2FLi1_9H"">券后</span><span class=""_3wxOojgp"">¥</span><span>0</span><span class=""ZAchpdk0"">.9</span></span></div><div class=""_5x_0r9h0"" style=""margin-left: 0.04rem; font-size: 0.13rem;""><div style=""width: 221px; transform-origin: left bottom; transform: scale(1); overflow: hidden;""><span class="""">已拼10万+件</span></div></div></div></div></div></div>"
"1639496865-917","https://yangkeduo.com/search_result.html?search_key=%E6%96%B0%E7%96%86%E6%9D%8F&source=index&options=3&search_met_track=manual&refer_page_el_sn=99885&refer_page_name=psnl_varification&refer_page_id=10390_1611407147078_9ah1wdbavt&refer_page_sn=10390&page_id=10015_1611407194386_h1gfg1xy0i&is_back=&bsch_is_search_mall=&bsch_show_active_page=&list_id=NFZ8enKYmL&flip=0%3B0%3B0%3B0%3B8a398fe9-5181-4ab0-b5af-dfaf7af6b80b&sort_type=_sales&price_index=-1&filter=","网红即食豆乳盒子蛋糕脏脏包糕点零食提拉米苏巧克力原味盒装包邮","旗舰店退货包运费第2件7.5折","券后¥1.9","已拼6.6万件","null","<div class=""_28aZEDfA _21K8BYKm""><div class=""_3kMW9wZS""><div class=""_1JhVorb- _3RevhB5_"" style=""width: 1.86rem; height: 1.86rem;""><img class=""pdd-lazy-image"" data-src=""https://img-1.pddpic.com/mms-material-img/2021-11-20/6483e26b-3ebe-4cae-9c4b-dff77a7f861a.jpeg.a.jpeg?imageView2/2/w/400/q/80/format/webp"" data-retry-count=""0"" style=""background-color: rgb(255, 255, 255); width: 1.86rem; height: 1.86rem;""></div><div class=""_3Zff7F2H"" style=""background: rgba(0, 0, 0, 0.5); color: rgb(255, 255, 255); z-index: 999;""><div class=""_1d--yjtx""><div style=""transform-origin: left center; transform: scale(1); width: 373px; overflow: hidden;""><span style=""visibility: visible;"">新疆不可配送</span></div></div></div></div><div class=""JgHA5Ioj""><div class=""RHpIDHFA _1fEcvgW-"" style=""margin-bottom: 0.03rem; height: 0.18rem;"">网红即食豆乳盒子蛋糕脏脏包糕点零食提拉米苏巧克力原味盒装包邮</div><div class=""_2Xn9iKeL""><div class=""_33MlbZAC""><div class=""_2ONfcqjj"" style=""margin-right: 0.06rem; margin-bottom: 0.02rem; color: rgb(224, 46, 36);"">旗舰店</div><div class=""_2ONfcqjj"" style=""margin-right: 0.06rem; margin-bottom: 0.02rem; color: rgb(156, 156, 156);"">退货包运费</div><div class=""_2ONfcqjj"" style=""margin-right: 0.06rem; margin-bottom: 0.02rem; color: rgb(156, 156, 156);"">第2件7.5折</div></div></div><div class=""_1-shHErP""><div class=""_1oIBfP0O""><div class=""_1u6vHUry""><span class=""_2TktAWlc""><span class=""_2FLi1_9H"">券后</span><span class=""_3wxOojgp"">¥</span><span>1</span><span class=""ZAchpdk0"">.9</span></span></div><div class=""_5x_0r9h0"" style=""margin-left: 0.04rem; font-size: 0.13rem;""><div style=""width: 221px; transform-origin: left bottom; transform: scale(1); overflow: hidden;""><span class="""">已拼6.6万件</span></div></div></div></div></div></div>"
"1639496865-947","https://yangkeduo.com/search_result.html?search_key=%E6%96%B0%E7%96%86%E6%9D%8F&source=index&options=3&search_met_track=manual&refer_page_el_sn=99885&refer_page_name=psnl_varification&refer_page_id=10390_1611407147078_9ah1wdbavt&refer_page_sn=10390&page_id=10015_1611407194386_h1gfg1xy0i&is_back=&bsch_is_search_mall=&bsch_show_active_page=&list_id=NFZ8enKYmL&flip=0%3B0%3B0%3B0%3B8a398fe9-5181-4ab0-b5af-dfaf7af6b80b&sort_type=_sales&price_index=-1&filter=","新货无壳南瓜籽仁500g/100g无添加原味烘焙南瓜子仁零食坚果炒货","小编推荐旗舰店极速退款","券后¥2.44","已拼5.5万件","https://img-1.pddpic.com/open-gw/2021-04-16/198418813458887c2b932b8816eaa3d6.jpeg?imageView2/2/w/400/q/80/format/webp","<div class=""_28aZEDfA _21K8BYKm""><div class=""_3kMW9wZS""><div class=""_1JhVorb- _3RevhB5_"" style=""width: 1.86rem; height: 1.86rem;""><img class=""pdd-lazy-image loaded"" data-src=""https://img-1.pddpic.com/open-gw/2021-04-16/198418813458887c2b932b8816eaa3d6.jpeg?imageView2/2/w/400/q/80/format/webp"" data-retry-count=""0"" src=""https://img-1.pddpic.com/open-gw/2021-04-16/198418813458887c2b932b8816eaa3d6.jpeg?imageView2/2/w/400/q/80/format/webp"" data-was-processed=""true"" style=""background-color: rgb(255, 255, 255); width: 1.86rem; height: 1.86rem;""></div></div><div class=""JgHA5Ioj""><div class=""RHpIDHFA _1fEcvgW-"" style=""margin-bottom: 0.03rem; height: 0.18rem;""><img src=""https://commimg-1.pddpic.com/oms_img_ng/2021-11-23/4f338504-401f-46f6-9170-9ba0696ee427.png?imageView2/2/w/1300/q/80/format/webp"" class=""q1RyBcaR"" data-cui-retry-count=""0"" style=""height: 0.15rem; top: 0.01rem;"">新货无壳南瓜籽仁500g/100g无添加原味烘焙南瓜子仁零食坚果炒货</div><div class=""_2Xn9iKeL""><div class=""_33MlbZAC""><div class=""_2ONfcqjj"" style=""margin-right: 0.06rem; margin-bottom: 0.02rem; color: rgb(224, 46, 36);""><img src=""https://funimg-1.pddpic.com/hot_friends/2020-10-27/78c3afa5-2332-4143-bd03-692db0585115.png.slim.png?imageView2/2/w/1300/q/80/format/webp"" data-cui-retry-count=""0"" style=""height: 0.12rem; width: 0.12rem; position: relative; top: 0.01rem; margin-right: 0.01rem;"">小编推荐</div><div class=""_2ONfcqjj"" style=""margin-right: 0.06rem; margin-bottom: 0.02rem; color: rgb(224, 46, 36);"">旗舰店</div><div class=""_2ONfcqjj"" style=""margin-right: 0.06rem; margin-bottom: 0.02rem; color: rgb(156, 156, 156);"">极速退款</div></div></div><div class=""_1-shHErP""><div class=""_1oIBfP0O""><div class=""_1u6vHUry""><span class=""_2TktAWlc""><span class=""_2FLi1_9H"">券后</span><span class=""_3wxOojgp"">¥</span><span>2</span><span class=""ZAchpdk0"">.44</span></span></div><div class=""_5x_0r9h0"" style=""margin-left: 0.04rem; font-size: 0.13rem;""><div style=""width: 204px; transform-origin: left bottom; transform: scale(1); overflow: hidden;""><span class="""">已拼5.5万件</span></div></div></div></div></div></div>"
