user_name,rate_date,item_type,rate_content
苏***罹,2021-12-19 00:57:08,食品口味:【2斤】精选杏干：250g*4包,不如之前几次买的这次的黏糊糊的
c***1,2021-12-18 23:04:38,食品口味:【半斤】精选杏干：250g*1包,很好吃，很新鲜，不是那种特别干的，而且都好大颗，会回购哒~
m***g,2021-12-18 22:54:32,食品口味:【1斤】精选杏干：250g*2包,很好吃，不错。
a***6,2021-12-18 22:46:25,食品口味:【2斤】精选杏干：250g*4包,好吃
z***i,2021-12-18 22:06:05,食品口味:【2斤】精选杏干：250g*4包,好
恋***竹,2021-12-18 22:05:33,食品口味:【半斤】精选杏干：250g*1包,包装品质：挺好的 口感味道：不酸，是甜的又不是很甜，喜欢
h***4,2021-12-18 21:35:23,食品口味:【半斤】精选杏干：250g*1包,好评
l***e,2021-12-18 19:29:42,食品口味:【1斤】精选杏干：250g*2包,好吃
s***7,2021-12-18 19:01:27,食品口味:【1斤】精选杏干：250g*2包,一般吧，挺干的。
吴***9,2021-12-18 18:09:44,食品口味:【半斤】精选杏干：250g*1包,不好吃，又甜又糯，不够酸，不够硬
朔***夜,2021-12-18 17:56:24,食品口味:【半斤】精选杏干：250g*1包,酸酸甜甜，一点都不腻！
s***然,2021-12-18 17:56:11,食品口味:【2斤】精选杏干：250g*4包,这个也太好吃了，我同事都管我要链接，但是哈尔滨不给发货 太难了
t***8,2021-12-18 17:28:08,食品口味:【1斤】精选杏干：250g*2包,就是添加物有点多哦
p***尘,2021-12-18 17:16:38,食品口味:【半斤】精选杏干：250g*1包,感觉好吃，但是感觉比较甜
杨***8,2021-12-18 17:10:38,食品口味:【1斤】精选杏干：250g*2包,口感味道：好吃，我下单的都很好吃，还会回购的。不喜欢韵达和邮政物流，其它都收货方便
d***5,2021-12-18 17:00:42,食品口味:【1斤】精选杏干：250g*2包,质量非常好，与卖家描述的完全一致，非常满意，真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物，我要给好评！！
l***1,2021-12-18 16:26:00,食品口味:【1斤】精选杏干：250g*2包,味道尚可，品质不错
c***8,2021-12-18 16:12:15,食品口味:【半斤】精选杏干：250g*1包,好吃
小***弥,2021-12-18 16:10:15,食品口味:【1斤】精选杏干：250g*2包,我特别爱吃杏干，每次吃都能吃一大堆，我闺蜜总是调侃我说我上辈子就是个杏干！！  这家的杏干酸甜特别对胃，不像另外其他店的一些杏干特别甜都不怎么酸，而且这个杏干颜值也高，用来开胃也挺好的！
z***h,2021-12-18 15:41:22,食品口味:【半斤】精选杏干：250g*1包,很好吃呀，吃完了还会再来的。
夏***王,2021-12-18 15:12:42,食品口味:【半斤】精选杏干：250g*1包,有点甜
奈***u,2021-12-18 15:02:31,食品口味:【半斤】精选杏干：250g*1包,很好吃 酸酸的 买了草莓芒果黄桃杏仁干，就数杏仁干最好吃，其他都太甜了
拥***z,2021-12-18 14:58:01,食品口味:【半斤】精选杏干：250g*1包,味道很可
莫***伦,2021-12-18 14:57:23,食品口味:【1斤】精选杏干：250g*2包,这个甜杏干拍出来是真的好看，吃起来也是酸酸甜甜的，我特别喜欢这个味道不像某些店卖的甜杏干特别甜，这个还是比较中和的，吃起来手感也特别不错，下次还选每果家
t***1,2021-12-18 14:56:36,食品口味:【2斤】精选杏干：250g*4包,懒得评论   但还是给他家评论了   这是第二次购买   是我吃过杏干最物美价廉的   👍🏻👍🏻👍🏻👍🏻👍🏿👍🏿👍🏿
幸***5,2021-12-18 14:40:25,食品口味:【1斤】精选杏干：250g*2包,酸甜可口
云***妮,2021-12-18 14:10:44,食品口味:【1斤】精选杏干：250g*2包,酸甜好吃😄
绝***人,2021-12-18 12:55:08,食品口味:【半斤】精选杏干：250g*1包,宝贝收到，包装完好，干净卫生，口感酸甜，物流超快，价格公道，好评。
1***b,2021-12-18 12:50:40,食品口味:【1斤】精选杏干：250g*2包,味道不错
和***8,2021-12-18 12:20:02,食品口味:【1斤】精选杏干：250g*2包,味道不错
t***6,2021-12-18 12:01:31,食品口味:【1斤】精选杏干：250g*2包,好吃，多次复购
h***b,2021-12-18 11:10:03,食品口味:【1斤】精选杏干：250g*2包,不错谢谢
g***8,2021-12-18 10:42:24,食品口味:【1斤】精选杏干：250g*2包,好吃。
树***懒,2021-12-18 10:19:01,食品口味:【1斤】精选杏干：250g*2包,好吃 生产日期很近 好评！
下***蟹,2021-12-18 09:58:29,食品口味:【半斤】精选杏干：250g*1包,物美价廉，包装不错
小***p,2021-12-18 09:56:44,食品口味:【1斤】精选杏干：250g*2包,包装品质：和图片不太一样 商品分量：份量感觉不够 口感味道：口感还可以
金***缘,2021-12-18 09:14:56,食品口味:【1斤】精选杏干：250g*2包,味道特别好，干净，非常满意！
水***q,2021-12-18 08:06:11,食品口味:【2斤】精选杏干：250g*4包,这个特别特别特别好吃，根本停不下来的赶脚，吃完这些得准备囤货过年了
水***q,2021-12-18 08:06:10,食品口味:【半斤】精选杏干：250g*1包,这个特别特别特别好吃，根本停不下来的赶脚，吃完这些得准备囤货过年了
s***2,2021-12-18 08:02:55,食品口味:【半斤】精选杏干：250g*1包,好好吃 又来买2斤
