标题,图片链接,详情页,价格,运费,所在地,销量,评论数,店铺名称,标识
吊干杏干500g杏脯非新疆杏肉干无红杏干添加天然酸甜果干蜜饯零食,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/4070486739/O1CN01YT6FXk1zeVkWXFkkH_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d621668204761\u0026ns\u003d1\u0026abbucket\u003d16,13.80,100.00,浙江杭州,1万+,31849,每果时光旗舰店,"['尚天猫，就购了', '公益宝贝']"
新疆红杏干杏脯500g无吊干杏杏肉添加天然酸杏子休闲零食果脯蜜饯,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/4070242128/O1CN01KSZ8Xh1RafRxfIsAu_!!4070242128-0-lubanu-s.jpg,https://detail.tmall.com/item.htm?id\u003d627064637550\u0026ns\u003d1\u0026abbucket\u003d16,13.80,30.00,安徽宣城,5000+,35785,蜜禾食品旗舰店,['尚天猫，就购了']
新疆特产土耳其大黑杏干甜杏干杏脯无核杏肉500g包邮,https://g-search3.alicdn.com/img/bao/uploaded/i4/i4/178074208/O1CN019QpgFd1gxJN2HN0iW_!!0-item_pic.jpg,https://item.taobao.com/item.htm?id\u003d546018892373\u0026ns\u003d1\u0026abbucket\u003d16#detail,28.80,0.00,新疆乌鲁木齐,4000+,25275,新疆超级风味特产,['金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心']
吊干杏干不添加然天新疆特产2021年新货特树上干杏脯级新疆杏干,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/3986630908/O1CN01rWNIgH1IZuFBjR3eh_!!3986630908.jpg,https://item.taobao.com/item.htm?id\u003d580592380852\u0026ns\u003d1\u0026abbucket\u003d16#detail,16.40,0.00,新疆阿克苏,4000+,43634,疆南味道,"['金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心', '公益宝贝']"
新疆特产杏干无添加天然土耳其大黑杏脯无核无糖杏肉果脯零食500g,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/696518549/O1CN019pJ5VE2D1UgoBb5Pk_!!696518549-0-picasso.jpg,https://item.taobao.com/item.htm?id\u003d633095559175\u0026ns\u003d1\u0026abbucket\u003d16#detail,35.00,0.00,新疆乌鲁木齐,4000+,19742,快乐的小吖伟,"['金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心', '公益宝贝']"
新疆吊干杏四团2021新货特新鲜无工业添加树上干然天晾晒吊杏干,https://g-search2.alicdn.com/img/bao/uploaded/i4/i3/2207854328372/O1CN01EPY4tx2BiQYXolFvH_!!2207854328372.jpg,https://item.taobao.com/item.htm?id\u003d624964017357\u0026ns\u003d1\u0026abbucket\u003d16#detail,29.90,150.00,新疆阿克苏,3000+,12736,枣农儿干果,"['金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心', '公益宝贝']"
新疆红杏干添加500g孕妇零食办公室无核杏肉干果脯蜜饯酸杏脯杏子,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/2212025643249/O1CN011C353B1Zs5W3mX1Z8_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d653119438462\u0026ns\u003d1\u0026abbucket\u003d16,13.80,20.00,安徽黄山,3000+,3167,徽味情旗舰店,"['尚天猫，就购了', '当季新品']"
倍滋倍味 土耳其黑杏干天然无添加杏脯无核杏肉干特产新疆吊干杏,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2207967778388/O1CN01O7B7mz2BpknisBmhi_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d618801451119\u0026ns\u003d1\u0026abbucket\u003d16,19.80,999.00,浙江杭州,2000+,2831,倍滋倍味旗舰店,"['尚天猫，就购了', '公益宝贝']"
新边界土耳其杏干新疆吊干杏干果干红杏干酸甜杏肉无杏脯添加天然,https://g-search3.alicdn.com/img/bao/uploaded/i4/i2/2024228961/O1CN01bhZizL2G4Bp1h85oC_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d597777846349\u0026ns\u003d1\u0026abbucket\u003d16,15.99,15.00,新疆乌鲁木齐,2000+,7547,新边界旗舰店,['尚天猫，就购了']
新疆杏干伊犁吊死干杏干无添加天然特级自然风干树上干杏新疆特产,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/2481880438/O1CN01QnFv6g1F6eApJlSSF_!!2481880438.jpg,https://item.taobao.com/item.htm?id\u003d573655133080\u0026ns\u003d1\u0026abbucket\u003d16#detail,29.50,0.00,新疆乌鲁木齐,2000+,15410,大漠果农木子特产店,['金牌卖家从千万卖家中脱颖而出，会为您的购物体验带来更多信任和安心']
新疆吊干杏干无核杏脯500g天然树上大杏干年新货休闲零食蜜饯,https://g-search1.alicdn.com/img/bao/uploaded/i4/i3/3316906087/O1CN01B4ir7M1uptXEFD1oj_!!0-item_pic.jpg,https://detail.tmall.com/item.htm?id\u003d632742641909\u0026ns\u003d1\u0026abbucket\u003d16,24.80,200.00,浙江杭州,2000+,5477,香先笙旗舰店,['尚天猫，就购了']
