raw_title,detail_url,view_price,view_fee,item_loc,view_sales,comment_count,user_id,nick,icon,comment_url,shopLink,shopcard.isTmall
吊干杏干500g杏脯非新疆杏肉干无红杏干添加天然酸甜果干蜜饯零食,//detail.tmall.com/item.htm?id=621668204761&ns=1&abbucket=10,13.8,100.0,浙江 杭州,10000,32451.0,4070486739,每果时光旗舰店,"['天猫宝贝', '公益宝贝']",//detail.tmall.com/item.htm?id=621668204761&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=4070486739,True
新疆红杏干杏脯500g无吊干杏杏肉添加天然酸杏子休闲零食果脯蜜饯,//detail.tmall.com/item.htm?id=627064637550&ns=1&abbucket=10,13.8,30.0,安徽 宣城,6000,35977.0,4070242128,蜜禾食品旗舰店,['天猫宝贝'],//detail.tmall.com/item.htm?id=627064637550&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=4070242128,True
新疆特产土耳其大黑杏干甜杏干杏脯无核杏肉500g包邮,//item.taobao.com/item.htm?id=546018892373&ns=1&abbucket=10#detail,29.9,0.0,新疆 乌鲁木齐,5000,25881.0,178074208,新疆超级风味特产,['金牌卖家'],//item.taobao.com/item.htm?id=546018892373&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=178074208,False
新疆特产杏干无添加天然土耳其大黑杏脯无核无糖杏肉果脯零食500g,//item.taobao.com/item.htm?id=633095559175&ns=1&abbucket=10#detail,35.6,0.0,新疆 乌鲁木齐,5000,20508.0,696518549,快乐的小吖伟,"['金牌卖家', '公益宝贝']",//item.taobao.com/item.htm?id=633095559175&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=696518549,False
吊干杏干不添加然天新疆特产2021年新货特树上干杏脯级新疆杏干,//item.taobao.com/item.htm?id=580592380852&ns=1&abbucket=10#detail,16.5,0.0,新疆 阿克苏,4000,44147.0,3986630908,疆南味道,"['金牌卖家', '公益宝贝']",//item.taobao.com/item.htm?id=580592380852&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=3986630908,False
新疆吊干杏四团2021新货特新鲜无工业添加树上干然天晾晒吊杏干,//item.taobao.com/item.htm?id=624964017357&ns=1&abbucket=10#detail,29.9,150.0,新疆 阿克苏,3000,13516.0,2207854328372,枣农儿干果,"['金牌卖家', '公益宝贝']",//item.taobao.com/item.htm?id=624964017357&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2207854328372,False
新边界土耳其杏干新疆吊干杏干果干红杏干酸甜杏肉无杏脯添加天然,//detail.tmall.com/item.htm?id=597777846349&ns=1&abbucket=10,15.99,15.0,新疆 乌鲁木齐,3000,7656.0,2024228961,新边界旗舰店,['天猫宝贝'],//detail.tmall.com/item.htm?id=597777846349&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2024228961,True
倍滋倍味 土耳其黑杏干天然无添加杏脯无核杏肉干特产新疆吊干杏,//detail.tmall.com/item.htm?id=618801451119&ns=1&abbucket=10,19.8,999.0,浙江 杭州,3000,3007.0,2207967778388,倍滋倍味旗舰店,"['天猫宝贝', '公益宝贝']",//detail.tmall.com/item.htm?id=618801451119&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2207967778388,True
新疆红杏干添加500g孕妇零食办公室无核杏肉干果脯蜜饯酸杏脯杏子,//detail.tmall.com/item.htm?id=653119438462&ns=1&abbucket=10,13.8,20.0,安徽 黄山,3000,3294.0,2212025643249,徽味情旗舰店,['天猫宝贝'],//detail.tmall.com/item.htm?id=653119438462&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2212025643249,True
新疆杏干伊犁吊死干杏干无添加天然特级自然风干树上干杏新疆特产,//item.taobao.com/item.htm?id=573655133080&ns=1&abbucket=10#detail,29.5,0.0,新疆 乌鲁木齐,2000,15682.0,2481880438,大漠果农木子特产店,['金牌卖家'],//item.taobao.com/item.htm?id=573655133080&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2481880438,False
新疆吊干杏干无核杏脯500g天然树上大杏干年新货休闲零食蜜饯,//detail.tmall.com/item.htm?id=632742641909&ns=1&abbucket=10,24.8,200.0,浙江 杭州,2000,5553.0,3316906087,香先笙旗舰店,['天猫宝贝'],//detail.tmall.com/item.htm?id=632742641909&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=3316906087,True
小小的我新疆甜杏肉160g孕妇零食杏干果干果脯天然无添加无核酸甜,//detail.tmall.com/item.htm?id=642087026131&ns=1&abbucket=10,36.9,18.0,江苏 常州,1000,60923.0,2211340469078,小小的我旗舰店,['天猫宝贝'],//detail.tmall.com/item.htm?id=642087026131&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2211340469078,True
丝路印象干果新疆果脯新疆杏干杏脯无核果脯杏肉脯孕妇休闲零食,//item.taobao.com/item.htm?id=612168115383&ns=1&abbucket=10#detail,20.0,0.0,新疆 伊犁,1000,128.0,4068140348,tb189116477,[],//item.taobao.com/item.htm?id=612168115383&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=4068140348,False
日式杏干500g非新疆吊干杏脯肉无红杏干添加天然酸甜果干蜜饯零食,//detail.tmall.com/item.htm?id=629637431019&ns=1&abbucket=10,11.8,20.0,浙江 杭州,1000,6641.0,2207911828053,抢鲜季旗舰店,['天猫宝贝'],//detail.tmall.com/item.htm?id=629637431019&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2207911828053,True
吊干杏干土耳其黑杏干新疆无核杏肉杏脯无添加天然果干蜜饯小零食,//detail.tmall.com/item.htm?id=655939095141&ns=1&abbucket=10,9.9,15.0,广东 惠州,1000,1288.0,2206443030742,同甘同味旗舰店,"['天猫宝贝', '新品']",//detail.tmall.com/item.htm?id=655939095141&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2206443030742,True
红杏干杏脯500g罐装新疆吊干杏杏肉树上酸杏子孕妇零食果脯蜜饯TP,//detail.tmall.com/item.htm?id=651048591990&ns=1&abbucket=10,12.8,20.0,浙江 杭州,1000,1373.0,2942872819,棠品旗舰店,['天猫宝贝'],//detail.tmall.com/item.htm?id=651048591990&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2942872819,True
简农杏干新疆无核杏树杏干天然大果干 独立包装休闲小零食120g,//item.taobao.com/item.htm?id=661390491947&ns=1&abbucket=10#detail,15.9,200.0,广东 珠海,1000,309.0,2200580251937,星级老钟驾到,"['全球购', '金牌卖家']",//item.taobao.com/item.htm?id=661390491947&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2200580251937,False
吊干杏干新疆特产杏干无添加天然2021年新货新疆杏干特级四团杏干,//item.taobao.com/item.htm?id=641724492871&ns=1&abbucket=10#detail,23.5,0.0,新疆 阿克苏,1000,9506.0,2121093602,ali111620146,[],//item.taobao.com/item.htm?id=641724492871&ns=1&abbucket=10&on_comment=1,//store.taobao.com/shop/view_shop.htm?user_number_id=2121093602,False
